basin_id,NSE
02HC027,-0.03243845824349978
02HC028,-0.09476179710056143
02HC029,
02HC030,-0.2776413836239615
02HC031,-0.12448368524087416
02HC032,-0.07913890075310248
02HC033,-0.09989921648237021
02HC034,
02HC035,
02HC036,
02HC037,
02HC038,0.011912062119907696
02HC039,
02HC040,
02HC060,-0.5937272208323572
02HC105,
02HC106,
02HC114,
02HD001,
02HD002,
02HD003,-1.2672593328295383
02HD004,0.06097683452085989
02HD006,-0.49440941363554924
02HD007,
02HD008,-0.44521934564198506
02HD009,-0.2966347022998095
02HD010,-0.2043638632403706
02HD012,-1.1069833096804467
02HD013,
02HD014,
02HD018,-4.177283733192909
02HD019,-0.5318791525931492
02HD020,0.08612128778360628
02HD021,-5.124932458341373
02HD022,0.057969826970941774
02HD023,-3.2070820359701795
02HD024,-0.5809982534108418
02HE001,
02HE002,-0.23507485473156908
02HE003,
02HE004,0.09344873570097956
02HF002,-3.4023724399554256
02HF003,-0.9565134290415598
02HF004,
02HF005,-1.512606565870818
02HG001,
02HG002,-0.09357402793608216
02HG003,-0.5075615828951741
02HH001,
02HH002,
02HH003,-3.140909296557127
02HJ001,-0.2626371285491216
02HJ002,
02HJ003,-0.5882591859508373
02HJ005,-14.490876665734861
02HJ006,-0.19142321484497593
02HJ007,0.09642709533372018
02HK002,
02HK003,-0.7710653420154818
02HK004,
02HK005,-0.7568662794001781
02HK006,-0.7637454025059431
02HK007,-0.8771924099839186
02HK008,-0.27155389810865804
02HK009,-0.17505226707863408
02HK010,
02HK011,0.10261706869282539
02HK012,
02HK014,
02HK015,-0.19651560472316087
02HK016,0.05344669928278656
02HK017,-0.21433259660862736
02HK802,
02HK902,
02HL001,-0.771589424296526
02HL003,-0.5705739307928948
02HL004,-0.6813831989638339
02HL005,-0.5551270208875962
02HL006,
02HL007,-0.6556884622927193
02HL008,-0.6115695293145424
02HL101,
02HL102,
02HL103,
02HL104,
02HM001,
02HM002,-0.9017338096235754
02HM003,-0.8182343089207433
02HM004,-0.22143845389977357
02HM005,-0.44743881383287065
02HM006,-0.5164956717899547
02HM007,-0.8714648487374939
02HM009,-8.473465245306485
02HM010,-0.9088046992705066
02HM011,0.0006330889974771603
02MA001,-0.9781487509678886
02MA002,
03115973,-3.108823384536347
04014500,
04015330,-0.16088949024938137
04015500,
04016000,
04016500,
04018750,
04021520,-0.4086004239084182
