basin_id,discharge_coverage
02DD009,1.0
02DD010,1.0
02DD012,1.0
02DD013,1.0
02DD014,1.0
02DD015,1.0
02DD016,1.0
02DD017,1.0
02DD019,1.0
02DD020,0.953457277473577
02DD024,0.34884757417547435
02DD026,0.3255443779447345
02DD029,0.04647905259136636
02DD030,0.04647905259136636
02DD031,0.04647905259136636
02EA001,0.0
02EA005,1.0
02EA006,1.0
02EA007,0.0
02EA008,0.0
02EA009,0.0
02EA010,1.0
02EA011,1.0
02EA012,0.0
02EA018,0.47007513052336686
02EA021,0.35368648923978097
02EB002,0.0
02EB003,0.0
02EB004,1.0
02EB005,0.0
02EB006,1.0
02EB007,0.0
02EB008,1.0
02EB009,0.0
02EB010,0.0
02EB011,1.0
02EB012,1.0
02EB013,1.0
02EB014,0.961288679485547
02EB103,0.0
02EB104,0.0
02EB105,0.0
02EC001,0.0
02EC002,1.0
02EC003,1.0
02EC004,0.99980899019483
02EC006,1.0
02EC007,1.0
02EC008,0.9179931236470139
02EC009,1.0
02EC010,1.0
02EC011,1.0
02EC012,1.0
02EC014,0.7209346746466319
02EC018,0.8318477015153445
02EC019,0.3953266267668407
02EC020,0.38959633261174076
02EC021,0.38959633261174076
02EC022,0.19680376926015536
02EC101,1.0
02EC103,1.0
02EC918,0.697631478415892
02ED001,0.0
02ED003,1.0
02ED004,0.0
02ED005,1.0
02ED007,1.0
02ED009,1.0
02ED010,1.0
02ED011,1.0
02ED013,0.8371959760601044
02ED014,1.0
02ED015,0.8041512797656947
02ED016,0.8028142111295047
02ED017,0.802941550999618
02ED018,0.8030688908697313
02ED019,0.8038966000254679
02ED024,0.800267413727238
02ED025,0.7809754234050681
02ED026,0.7733987011333249
02ED027,0.691137145040112
02ED028,0.5443142747994397
02ED029,0.5348911244110531
02ED030,0.3953266267668407
02ED031,0.38959633261174076
02ED032,0.38959633261174076
02ED100,1.0
02ED101,0.6046097032981026
02ED102,1.0
02FA001,1.0
02FA002,1.0
02FA004,0.8371959760601044
02FB001,0.0
02FB003,0.0
02FB004,0.0
02FB005,0.0
02FB006,0.0
02FB007,1.0
02FB008,0.0
02FB009,1.0
02FB010,1.0
02FB012,0.38959633261174076
02FB013,0.38959633261174076
02FB014,0.38959633261174076
02FC001,1.0
02FC002,1.0
02FC004,0.0
02FC005,0.0
02FC009,0.0
02FC011,1.0
02FC012,1.0
02FC013,1.0
02FC014,0.0
02FC015,1.0
02FC016,1.0
02FC017,0.8621545906023176
02FC018,0.8389787342416911
02FC019,0.697631478415892
02FC020,0.38959633261174076
02FC021,0.38959633261174076
02FD001,1.0
02FD002,1.0
02FD003,0.4686743919521202
02FE001,0.0
02FE002,1.0
02FE003,1.0
02FE004,1.0
02FE005,1.0
02FE007,1.0
02FE008,1.0
02FE009,1.0
02FE010,0.4736406468865402
02FE011,0.9635171272125302
02FE013,0.9112441105310073
02FE014,0.8858398064433974
02FE015,0.7906532535336814
02FE016,0.3953266267668407
02FE017,0.38959633261174076
02FE018,0.1105310072583726
02FF001,0.0
02FF002,1.0
02FF003,0.0
02FF004,1.0
02FF005,0.0
02FF006,0.0
02FF007,1.0
02FF008,1.0
02FF009,0.8916974404686108
02FF011,0.4722399083152935
02FF012,0.46822870240672354
02FF013,0.38959633261174076
02FF014,0.3953266267668407
02FF015,0.3953266267668407
02FF016,0.13389787342416912
